N,sr,lr,sigma,IP,esr,kl,accuracy
800,0.4,0.97,0.2,True,0.3999999999999998,1.450946500102976,0.285
800,0.4,0.97,0.3,True,0.40000000000000147,1.3856000250949565,0.275
800,0.4,0.97,0.3,True,0.40000000000000036,1.320057213723474,0.295
800,0.4,0.97,0.3,True,0.40000000000000097,1.0308706044424403,0.31
800,0.4,0.97,0.3,True,0.39999999999999925,1.1082011146257735,0.325
800,0.4,0.97,0.3,True,0.3999999999999999,1.2693675406418783,0.295
800,0.4,0.97,0.3,True,0.39999999999999936,1.078871321897844,0.28
800,0.4,0.97,0.3,True,0.39999999999999947,1.4059452258986769,0.32
800,0.4,0.97,0.3,True,0.39999999999999997,1.2616563255595206,0.3
800,0.4,0.97,0.3,True,0.4,1.1576977898377314,0.275
800,0.4,0.97,0.3,True,0.4000000000000005,1.2896750878649939,0.31
800,0.4,0.97,0.3,True,0.39999999999999997,1.310587151316653,0.305
800,0.4,0.97,0.3,True,0.39999999999999997,1.195422147301742,0.295
800,0.4,0.97,0.3,True,0.3999999999999996,1.3454607729568835,0.31
800,0.4,0.97,0.3,True,0.40000000000000013,1.2165101321484764,0.315
800,0.4,0.97,0.3,True,0.3999999999999996,1.2860442982485607,0.275
800,0.4,0.97,0.3,True,0.4000000000000005,1.0524510586902829,0.295
800,0.4,0.97,0.3,True,0.3999999999999982,1.2670351697704998,0.33
800,0.4,0.97,0.3,True,0.3999999999999992,1.1525981176515427,0.29
800,0.4,0.97,0.3,True,0.39999999999999825,1.2087032560907873,0.3
800,0.4,0.97,0.3,True,0.39999999999999947,1.1858845834346452,0.305
800,0.4,0.97,0.3,True,0.3999999999999997,1.2788833091069811,0.315
800,0.4,0.97,0.3,True,0.4000000000000005,1.202676314350297,0.29
800,0.4,0.97,0.3,True,0.3999999999999985,1.2365049092397726,0.295
800,0.4,0.97,0.3,True,0.39999999999999974,1.2547423365156811,0.28
800,0.4,0.97,0.3,True,0.4,1.0927637055019581,0.305
1000,0.4,0.97,0.1,True,0.3999999999999996,0.22941610056580136,0.305
1000,0.4,0.97,0.1,True,0.39999999999999963,0.16899965355475424,0.295
1000,0.4,0.97,0.1,True,0.3999999999999996,0.24425447288767732,0.305
1000,0.4,0.97,0.1,True,0.3999999999999996,0.23820807580974507,0.305
1000,0.4,0.97,0.1,True,0.4000000000000005,0.20025180857142066,0.315
1000,0.4,0.97,0.1,True,0.4000000000000005,0.2089126081955235,0.31
1000,0.4,0.97,0.1,True,0.3999999999999995,0.4834860869320108,0.3
1000,0.4,0.97,0.1,True,0.39999999999999925,0.1994125780931306,0.295
1000,0.4,0.97,0.1,True,0.40000000000000013,0.36039483571395337,0.335
1000,0.4,0.97,0.1,True,0.3999999999999984,0.1593860136974507,0.33
1000,0.4,0.97,0.1,True,0.4,0.41723349424723355,0.28
1000,0.4,0.97,0.1,True,0.40000000000000135,0.15379551144081627,0.33
1000,0.4,0.97,0.1,True,0.39999999999999963,0.29597304518403883,0.3
1000,0.4,0.97,0.1,True,0.4,0.26749938999375417,0.3
1000,0.4,0.97,0.1,True,0.39999999999999947,0.3169298713141078,0.285
1000,0.4,0.97,0.1,True,0.40000000000000197,0.40228167025995765,0.325
1000,0.4,0.97,0.1,True,0.4000000000000008,0.2709745898915448,0.3
1000,0.4,0.97,0.1,True,0.4000000000000003,0.1564840391918846,0.3
1000,0.4,0.97,0.1,True,0.40000000000000024,0.3557210923395801,0.32
1000,0.4,0.97,0.1,True,0.39999999999999797,0.1041712322981859,0.315
1000,0.4,0.97,0.1,True,0.4000000000000009,0.42522832813605416,0.31
1000,0.4,0.97,0.1,True,0.4000000000000006,0.308108329929826,0.265
1000,0.4,0.97,0.1,True,0.3999999999999997,0.3062775374690059,0.335
1000,0.4,0.97,0.1,True,0.4000000000000002,0.2937877845536293,0.295
1000,0.4,0.97,0.1,True,0.4000000000000009,0.1852808820918725,0.29
1000,0.4,0.97,0.2,True,0.40000000000000036,1.6684131146246166,0.315
1000,0.4,0.97,0.2,True,0.39999999999999836,1.719318092343991,0.335
1000,0.4,0.97,0.2,True,0.4,1.7821154703812314,0.335
1000,0.4,0.97,0.2,True,0.40000000000000036,1.7193612178594067,0.28
1000,0.4,0.97,0.2,True,0.4000000000000009,1.5905126398547447,0.295
1000,0.4,0.97,0.2,True,0.3999999999999999,1.8960719298265227,0.3
1000,0.4,0.97,0.2,True,0.4000000000000021,1.7845630819533769,0.305
1000,0.4,0.97,0.2,True,0.39999999999999897,1.813015445826356,0.28
1000,0.4,0.97,0.2,True,0.3999999999999987,1.7088455221710586,0.28
1000,0.4,0.97,0.2,True,0.3999999999999993,1.8165137367955562,0.3
1000,0.4,0.97,0.2,True,0.40000000000000147,1.6709861129461878,0.315
1000,0.4,0.97,0.2,True,0.4000000000000012,1.7738560386947295,0.32
1000,0.4,0.97,0.2,True,0.400000000000001,1.8048132991819963,0.31
1000,0.4,0.97,0.2,True,0.4000000000000017,1.7341376285866228,0.3
1000,0.4,0.97,0.2,True,0.3999999999999986,1.7520987675775683,0.31
1000,0.4,0.97,0.2,True,0.39999999999999947,1.6536594417828923,0.285
1000,0.4,0.97,0.2,True,0.40000000000000147,1.4698443905896585,0.28
1000,0.4,0.97,0.2,True,0.4000000000000006,1.6700972653168369,0.32
1000,0.4,0.97,0.2,True,0.3999999999999997,1.608064728135456,0.315
1000,0.4,0.97,0.2,True,0.39999999999999925,1.6553020625200154,0.275
1000,0.4,0.97,0.2,True,0.39999999999999936,1.72286131131046,0.31
1000,0.4,0.97,0.2,True,0.39999999999999936,1.6915081176420497,0.29
1000,0.4,0.97,0.2,True,0.40000000000000063,1.8137498584031602,0.325
1000,0.4,0.97,0.2,True,0.4000000000000013,1.7762191301137937,0.315
1000,0.4,0.97,0.2,True,0.4000000000000013,1.4307411450490757,0.315
1000,0.4,0.97,0.3,True,0.4000000000000009,1.3030597062409446,0.31
1000,0.4,0.97,0.3,True,0.39999999999999925,1.2582849844302066,0.32
1000,0.4,0.97,0.3,True,0.39999999999999986,1.3470106798066617,0.315
1000,0.4,0.97,0.3,True,0.3999999999999996,1.3054424351046303,0.29
1000,0.4,0.97,0.3,True,0.3999999999999997,1.337759530941844,0.295
1000,0.4,0.97,0.3,True,0.39999999999999974,1.4082278844290648,0.31
1000,0.4,0.97,0.3,True,0.39999999999999847,1.4345479709587532,0.3
1000,0.4,0.97,0.3,True,0.40000000000000024,1.385688348751098,0.305
1000,0.4,0.97,0.3,True,0.40000000000000135,1.2575987097891606,0.29
1000,0.4,0.97,0.3,True,0.40000000000000085,1.370720478688523,0.325
1000,0.4,0.97,0.3,True,0.39999999999999797,1.3931779258747214,0.31
1000,0.4,0.97,0.3,True,0.3999999999999991,1.1962706681277906,0.3
